phone_id,track_no,pathLength,timeStopped,noStops,timeSpent,inactiveTime,sThetaChange,sThetaIn,sThetaOut,sThetaInOut,timePerStop,totAvrgSpeed,timesStoppedHere,pathPerShortest,timePerShortest,speedLessThan3,speedLessThan2,speedLessThan1,anglelargerthan5,anglelargerthan10,anglelargerthan15,anglelargerthan20,speedLargerThan10,,Businessman,Shopper,Security
ZX1B23QBS53771758c578bbd85,1,1205.05,0,18,999,0,742.9860417,0,0,0,51.77777778,1.206256256,932,0,0,36,47,794,327,29,25,29,23,,,,1
ZX1B23QBS53771758c578bbd85,2,1132.85526,0,18,959.5299449,0,604.6012555,0,0,0,46.94444444,1.18063565,845,0,0,49,52,753,332,19,36,19,28,,,,1
ZX1B23QBS53771758c578bbd85,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1
ZX1B23QBS53771758c578bbd85,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1
ZX1B23QBS53771758c578bbd85,5,1130.234145,0,18,986.8395831,0,643.49713,0,0,0,47.72222222,1.145306861,859,1.739059073,649.9113011,46,45,788,332,28,29,28,23,,,,1
ZX1B23QBS53771758c578bbd85,6,1005.25,0,19,833,0,513.8213487,0,0,0,37.52631579,1.206782713,713,0,0,31,36,669,299,17,26,17,27,,,,1
ZX1B23QBS53771758c578bbd85,7,967.1570019,0,11,773.1337524,0,476.7114172,0,0,0,62.81818182,1.2509569,691,0,0,34,35,608,262,26,23,26,21,,,,1
ZX1B23QBS53771758c578bbd85,8,1067.2,0,16,999,0,633.3438295,0,0,0,57.9375,1.068268268,927,0,0,36,49,809,331,26,33,26,22,,,,1
ZX1B23QBS53771758c578bbd85,9,1043.1,0,14,925,0,630.0609649,0,0,0,60.71428571,1.127675676,850,0,0,32,45,744,328,18,23,18,24,,,,1
ZX1B23QBS53771758c578bbd85,10,1045.6,0,15,999,0,593.8001535,0,0,0,60.26666667,1.046646647,904,0,0,44,46,806,358,27,32,27,17,,,,1
TA92903URNf067ff16fcf8e045,1,1194.837216,0,26,820.3049244,0,600.8213487,0,0,0,25.23076923,1.456576915,656,0,0,25,67,625,264,15,25,15,29,,,1,
TA92903URNf067ff16fcf8e045,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,
TA92903URNf067ff16fcf8e045,3,1179.418789,0,22,886.8342561,0,649.2368915,0,0,0,36.31818182,1.329920197,799,0,0,26,60,693,292,35,25,35,27,,,1,
TA92903URNf067ff16fcf8e045,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,
TA92903URNf067ff16fcf8e045,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,
TA92903URNf067ff16fcf8e045,6,1206.569335,0,16,819.3445385,0,617.7056058,0,0,0,48.6875,1.472603134,779,0,0,22,57,625,283,22,20,22,31,,,1,
TA92903URNf067ff16fcf8e045,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,
TA92903URNf067ff16fcf8e045,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,
TA92903URNf067ff16fcf8e045,9,1179.080534,0,18,857.6787253,0,664.2546025,0,0,0,42.55555556,1.374734501,766,0,0,26,65,659,279,30,24,30,26,,,1,
TA92903URNf067ff16fcf8e045,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,
ZX1B23QFSP48abead89f52e3bb,1,805.7741706,0,12,266.9178802,0,117.48,0,0,0,13.41666667,3.018809268,161,0,0,28,32,117,99,16,10,16,21,,1,,
ZX1B23QFSP48abead89f52e3bb,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,
ZX1B23QFSP48abead89f52e3bb,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,
ZX1B23QFSP48abead89f52e3bb,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,
ZX1B23QFSP48abead89f52e3bb,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,
ZX1B23QFSP48abead89f52e3bb,6,947.0624435,0,10,295.5068619,0,203.1189282,0,0,0,21,3.204874626,210,0,0,27,40,121,105,12,9,12,25,,1,,
ZX1B23QFSP48abead89f52e3bb,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,
ZX1B23QFSP48abead89f52e3bb,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,
ZX1B23QFSP48abead89f52e3bb,9,895.1580717,0,12,271.1190151,0,167.4469984,0,0,0,15.58333333,3.301716301,187,0,0,14,54,103,84,5,13,5,26,,1,,
ZX1B23QFSP48abead89f52e3bb,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,
